J2,L,Wc_r,Wc_ipr
0.0,8,2.529058116232465,3.5
0.0,10,3.0400801603206413,4.0
0.0,12,2.8897795591182365,6.5
0.0,14,3.190380761523046,6.0
0.5,8,3.94188376753507,5.0
0.5,10,3.8667334669338675,6.0
0.5,12,4.377755511022044,6.5
0.5,14,4.768537074148297,8.0
