L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
14,0.5,0.0,0.5278577148805949,0.0015729815599185798,0.0009309779936223174,1.1486878491742825e-06
14,1.0,0.0,0.5301703965668116,0.0017843144230321865,0.000986250504856748,5.074976864158949e-06
14,1.5,0.0,0.5307646866728154,0.0016548776565820584,0.0012629412261371809,3.688383958001323e-05
14,2.0,0.0,0.5271023035747551,0.0022554047352463407,0.002536067746793019,0.0002170748832607277
14,2.5,0.0,0.5054173189276249,0.0034440714847371293,0.0068241111458777,0.0007476516720995316
14,3.0,0.0,0.4689687753359393,0.004916704832879199,0.016095508677009547,0.0017467166099971593
14,3.5,0.0,0.4405269760463061,0.004254754537063796,0.030554077332165877,0.0031291027432433774
14,4.0,0.0,0.42375745262835757,0.004294291714072782,0.048806045539422645,0.004640107408053018
14,4.5,0.0,0.41140281801736195,0.0030436839802839596,0.06952891978968666,0.006146234831025876
14,5.0,0.0,0.4050053254402065,0.0024434911297350767,0.0914060785805201,0.007539448039634526
14,5.5,0.0,0.401209126557549,0.002115516762246608,0.1134611735276046,0.008752725052755808
14,6.0,0.0,0.39656776593988924,0.0019808604383451016,0.13664901259695847,0.009931870188061201
14,6.5,0.0,0.3955026101767447,0.00170048213386804,0.1603862458700411,0.011028128128895955
14,7.0,0.0,0.3924332286415899,0.0017716241405935549,0.18292262161958958,0.012092422166161517
14,7.5,0.0,0.3917027025798518,0.0017082342142362116,0.2047605489972113,0.012829062841832892
14,8.0,0.0,0.3909495023394567,0.001566030259205966,0.2264319795766704,0.013641430795689075
