L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
8,0.5,0.0,0.5242822708161144,0.011433059740026187,0.04440239329960278,0.00031061175867413304
8,1.0,0.0,0.5156649596915115,0.01159225229960739,0.046168807860203255,0.0005390532564241448
8,1.5,0.0,0.5074959087644602,0.011527078592611237,0.05685930263391567,0.0014410344572774192
8,2.0,0.0,0.48516175528686195,0.011223893115179401,0.07506321378254638,0.0026034517057936667
8,2.5,0.0,0.46032691242523893,0.014331965105625595,0.10308217753391936,0.004784130989383236
8,3.0,0.0,0.4248813151405135,0.010616193166271716,0.13456446351573428,0.006802353756786417
8,3.5,0.0,0.4411272814208166,0.011762356719470306,0.17330535538277256,0.008776849934676203
8,4.0,0.0,0.4428971266029275,0.012135986406896207,0.20696752127767926,0.011003868684340994
8,4.5,0.0,0.41323213682476984,0.012310204377083663,0.24426466495777358,0.012253271081888346
8,5.0,0.0,0.42497746376868095,0.01265556382940422,0.276869239730429,0.01330686865044202
8,5.5,0.0,0.4240335568899193,0.011896727339840756,0.3101551704632931,0.013882535251274917
8,6.0,0.0,0.42090712588352713,0.012296188526065795,0.3383388771002411,0.014258108466859003
8,6.5,0.0,0.3955554079436982,0.014646978789551665,0.3615559412446594,0.015400315834700673
8,7.0,0.0,0.3877192478281208,0.012347298021754579,0.3920506638443995,0.016268757118398695
8,7.5,0.0,0.41789545109157467,0.012414469125881171,0.4152899451409748,0.01715691861092406
8,8.0,0.0,0.3902284938511694,0.01415550151494765,0.43638455368642215,0.017802228009594405
10,0.5,0.0,0.5016934581953688,0.006459640297863882,0.012933070051770888,6.176264878616677e-05
10,1.0,0.0,0.523705629922016,0.006539724742117666,0.014374396062842236,0.00018331453913472898
10,1.5,0.0,0.514890735240008,0.007394435511028639,0.01896790358852533,0.0006939145990967361
10,2.0,0.0,0.492442113976935,0.00684155697224437,0.02912207951889139,0.0016860842528084966
10,2.5,0.0,0.4629256520067982,0.007218347654092508,0.0467860135142488,0.0033150937841120395
10,3.0,0.0,0.4602103283167808,0.0065042372975604315,0.0693687364804423,0.004869233207167392
10,3.5,0.0,0.43665451818440604,0.006183127016842655,0.09503556059846571,0.006387309486579815
10,4.0,0.0,0.41820564508490515,0.0055577736207753714,0.12417052552112237,0.00813381850842431
10,4.5,0.0,0.41032473327615526,0.005720750210792433,0.15554651807399403,0.010007034018413937
10,5.0,0.0,0.4158613676849158,0.007318663803858717,0.18444870538772118,0.011206472415770025
10,5.5,0.0,0.3987614798532153,0.0069042474329018685,0.21173680035420742,0.012544542042208359
10,6.0,0.0,0.3956554320559688,0.0070813908120451125,0.24200930161552475,0.013807662597990924
10,6.5,0.0,0.403723090213391,0.006617301985570246,0.26776420946586554,0.014561733670079943
10,7.0,0.0,0.39516511901040446,0.006090269493727173,0.2950537132187887,0.015539097088332003
10,7.5,0.0,0.40295543540589973,0.006646204485753492,0.3215039168564822,0.016376201815126976
10,8.0,0.0,0.41123876344710075,0.006458467109716952,0.3434181155400473,0.01711997641134354
12,0.5,0.0,0.5278196624837065,0.003267397108953369,0.0036110654298368624,1.2190713780871038e-05
12,1.0,0.0,0.5309964227282106,0.003087612520885531,0.003883128005372416,2.7314913556894287e-05
12,1.5,0.0,0.5262459354950473,0.0031993615913938067,0.005304143091317627,0.000174440666655562
12,2.0,0.0,0.5115405747589247,0.0036273912639684146,0.009758442212637579,0.0006464460037061342
12,2.5,0.0,0.480714954839694,0.0042148336708116374,0.019387210176562576,0.0015659457404815756
12,3.0,0.0,0.45154677091256323,0.005020156084229672,0.03537360969867484,0.0029054263794356496
12,3.5,0.0,0.4347930397638375,0.004846793428859199,0.055712234981409384,0.004490820135375629
12,4.0,0.0,0.4203202406761107,0.004059748070197868,0.07939614287899623,0.006175598546159259
12,4.5,0.0,0.4155918546640297,0.003796651145068704,0.10526245750459327,0.007943276178567712
12,5.0,0.0,0.4005660004813486,0.0033523409447880296,0.13049910496181802,0.009489359309475566
12,5.5,0.0,0.40098655163861463,0.003811551809780482,0.15650913520814883,0.01068778196963708
12,6.0,0.0,0.4008286606373727,0.003961239567752226,0.18120174768145014,0.011644436401196178
12,6.5,0.0,0.39574711511470456,0.0035808662086928436,0.2074709415250968,0.012767198822562097
12,7.0,0.0,0.39361075176856547,0.0029286703063024777,0.23273508515020797,0.013994440861557197
12,7.5,0.0,0.3911316368293051,0.0031656111774227315,0.25732964902039407,0.014911137972333973
12,8.0,0.0,0.3909232408381772,0.0036869608580058577,0.27908016264877944,0.015413031521337228
