L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
14,0.5,0.0,0.5278577148805949,0.0015729815599185,0.0009309779936223,1.1486878491742823e-06
14,1.0,0.0,0.5301703965668116,0.0017843144230321,0.0009862505048567,5.074976864158949e-06
14,1.5,0.0,0.5307646866728154,0.001654877656582,0.0012629412261371,3.688383958001323e-05
14,2.0,0.0,0.5271023035747551,0.0022554047352463,0.002536067746793,0.0002170748832607
14,2.5,0.0,0.5054173189276249,0.0034440714847371,0.0068241111458777,0.0007476516720995
14,3.0,0.0,0.4689687753359393,0.0049167048328791,0.0160955086770095,0.0017467166099971
14,3.5,0.0,0.4405269760463061,0.0042547545370637,0.0305540773321658,0.0031291027432433
14,4.0,0.0,0.4237574526283575,0.0042942917140727,0.0488060455394226,0.004640107408053
14,4.5,0.0,0.4114028180173619,0.0030436839802839,0.0695289197896866,0.0061462348310258
14,5.0,0.0,0.4050053254402065,0.002443491129735,0.0914060785805201,0.0075394480396345
14,5.5,0.0,0.401209126557549,0.0021155167622466,0.1134611735276046,0.0087527250527558
14,6.0,0.0,0.3965677659398892,0.0019808604383451,0.1366490125969584,0.0099318701880612
14,6.5,0.0,0.3955026101767447,0.001700482133868,0.1603862458700411,0.0110281281288959
14,7.0,0.0,0.3924332286415899,0.0017716241405935,0.1829226216195895,0.0120924221661615
14,7.5,0.0,0.3917027025798518,0.0017082342142362,0.2047605489972113,0.0128290628418328
14,8.0,0.0,0.3909495023394567,0.0015660302592059,0.2264319795766704,0.013641430795689
14,0.5,0.5,0.5307322019002212,0.0014040006976092,0.000917605339423,4.47893242922387e-07
14,1.0,0.5,0.5310064877490677,0.0016524624494942,0.0009592989948984,3.0584394890012754e-06
14,1.5,0.5,0.5305091472539059,0.0016700763816781,0.0010748469557557,1.1825944662066886e-05
14,2.0,0.5,0.5289940089882168,0.0015512858643155,0.0013898521077261,4.30830038534402e-05
14,2.5,0.5,0.529954243559033,0.0015942703113799,0.0022207267256282,0.0001349792580268
14,3.0,0.5,0.5233160443344015,0.0022266572820546,0.0042792176873675,0.0003689994989292
14,3.5,0.5,0.5093402419990798,0.0032853110722894,0.0083816081114834,0.000837332721268
14,4.0,0.5,0.4871421178499311,0.0034947938043377,0.0148823652940671,0.0014587007615454
14,4.5,0.5,0.4669633060050944,0.0044142962416376,0.0238039929428036,0.0021992524434635
14,5.0,0.5,0.4509562407226367,0.004221463363945,0.0348033542732705,0.0030764484349703
14,5.5,0.5,0.4341304644176119,0.0039940207527612,0.0470646481890357,0.0039056674533072
14,6.0,0.5,0.4254773086523085,0.0035517973871349,0.0614082075816977,0.0048114599416529
14,6.5,0.5,0.417849018018313,0.0032978573991676,0.0764891216328139,0.0056671936429745
14,7.0,0.5,0.4087099791701579,0.0025732396576468,0.0913737898595501,0.006430007642914
14,7.5,0.5,0.4050315158593507,0.0024693791226455,0.1075420850507219,0.0071980082355847
14,8.0,0.5,0.4033916855677043,0.0021906668937013,0.1239155794912692,0.0079722095914366
8,0.5,0.0,0.5242822708161144,0.0114330597400261,0.0444023932996027,0.0003106117586741
8,1.0,0.0,0.5156649596915115,0.0115922522996073,0.0461688078602032,0.0005390532564241
8,1.5,0.0,0.5074959087644602,0.0115270785926112,0.0568593026339156,0.0014410344572774
8,2.0,0.0,0.4851617552868619,0.0112238931151794,0.0750632137825463,0.0026034517057936
8,2.5,0.0,0.4603269124252389,0.0143319651056255,0.1030821775339193,0.0047841309893832
