L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
8,0.5,0.5,0.5274918645338772,0.004731267569804044,0.05728328193613143,0.0005486555990316051
8,1.0,0.5,0.5043725193211412,0.005371489659295406,0.08699511723441875,0.002288710303548059
8,1.5,0.5,0.4906377790475816,0.006027375221148108,0.13057109274691572,0.004847944856125048
8,2.0,0.5,0.4693378301732352,0.005462349928038201,0.18033143280831848,0.007257372086853769
8,2.5,0.5,0.4526378727705127,0.005918176492707527,0.23283363893629627,0.009336076387467649
8,3.0,0.5,0.438458936304201,0.0058714982743422045,0.2838025634895514,0.011066527045454506
8,3.5,0.5,0.42024806075174004,0.005395647424088485,0.3286067869864946,0.012333686383413008
8,4.0,0.5,0.42691979271709485,0.0055379490568523825,0.37222169033361824,0.014055733069262936
8,4.5,0.5,0.41450330225626203,0.005539139136077103,0.41143309946720596,0.014962828965603334
8,5.0,0.5,0.4165760075582235,0.005595977812172303,0.44590800907017025,0.01565778099058101
8,5.5,0.5,0.4169793634938613,0.0067992067418605915,0.4799362445723013,0.016452500168461535
8,6.0,0.5,0.40724397047207267,0.006736192000187859,0.5055153279345227,0.01660726111130796
8,6.5,0.5,0.40355544642796026,0.006077287252088964,0.53066351423683,0.017387052439484588
8,7.0,0.5,0.4089968319739841,0.005438201726687828,0.5535348199756566,0.017736820803222465
8,7.5,0.5,0.41389426125162115,0.005701364079704434,0.5730711967678324,0.01784404703869005
8,8.0,0.5,0.4125562377670503,0.005744698287104346,0.5908376791090353,0.01777917798654159
10,0.5,0.5,0.5256385547152436,0.002461730701000515,0.019506467506780853,0.00022006761855120348
10,1.0,0.5,0.5176921569782563,0.0030902588812356437,0.03393456375071685,0.0009774782031168913
10,1.5,0.5,0.4881011751956264,0.003098166954188109,0.06216172656031471,0.002530714109856834
10,2.0,0.5,0.46847274363618685,0.0038389563688744958,0.10165172492838474,0.0044633740477747425
10,2.5,0.5,0.4427726987224694,0.003629937511899327,0.14789631710466783,0.006509105380968946
10,3.0,0.5,0.43509746540682653,0.0037286886346451237,0.1956176587488547,0.008191992705365024
10,3.5,0.5,0.42061127083387106,0.0032984925572189807,0.2415685176678274,0.009741468696313111
10,4.0,0.5,0.41470528182242944,0.0032228331431515276,0.28428744583292076,0.010956402659445126
10,4.5,0.5,0.40901152394280765,0.003526851386094279,0.3242205343221209,0.011795371297368384
10,5.0,0.5,0.40422483697983247,0.0033522987950274385,0.36143849983411036,0.01258401568160269
10,5.5,0.5,0.4032661114473499,0.003334152801281927,0.3957323694332315,0.01337207118262027
10,6.0,0.5,0.3965451470962533,0.0027652543711520587,0.4264916703982597,0.014315197814694307
10,6.5,0.5,0.39980683548679863,0.00336949289139356,0.4549936022762375,0.01480753331019197
10,7.0,0.5,0.3979282595389917,0.0027714329117926343,0.47958657646871283,0.015163882799377392
10,7.5,0.5,0.3970495232205151,0.0031614100197977107,0.5031946355522958,0.015561616837482087
10,8.0,0.5,0.4014397472161724,0.003193988850986298,0.5248796281772259,0.01577469209481669
