L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
14,0.5,0.0,0.5292673104396054,0.002574443508176868,0.0010871428544086351,5.841903029184828e-06
14,1.0,0.0,0.5308442362220416,0.0027535362459541733,0.0025031730834376513,0.00017092130361682692
14,1.5,0.0,0.4938004423117951,0.004857456116909941,0.014545822630337124,0.0014837542796730596
14,2.0,0.0,0.4427603943676771,0.005715307865841545,0.04785927306820723,0.0040482011953699975
14,2.5,0.0,0.41411686538366077,0.004574325298797061,0.09331112191755986,0.006621128389655942
14,3.0,0.0,0.4027634775888083,0.003851831244720439,0.14205620667907368,0.008915773204240328
14,3.5,0.0,0.39486564185566864,0.0031391520312814016,0.19125298445909167,0.010652232135999216
14,4.0,0.0,0.3892699022291298,0.0026896614949905788,0.2364796049336657,0.012179007156188186
14,4.5,0.0,0.3859771955909693,0.0032390339329238385,0.27869791352605355,0.013406384584294046
14,5.0,0.0,0.3973751602613516,0.0022489287670369395,0.31635156190946473,0.01466879864027374
14,5.5,0.0,0.38800946278030957,0.0024945378252144673,0.35322367288123696,0.015994855598601934
14,6.0,0.0,0.3846113649725554,0.0023894229708782467,0.38725051516898756,0.01695216553117162
14,6.5,0.0,0.3824394497756202,0.002961137459508896,0.4154434182721398,0.017829257457698415
14,7.0,0.0,0.38364592300263567,0.0021696469318319405,0.4405175034903131,0.01822940956506878
14,7.5,0.0,0.3902759839847319,0.0023494091676749197,0.46426517779132903,0.01880478892474122
14,8.0,0.0,0.38430389043884533,0.0023921861184119796,0.4882303820976261,0.01938342628159389
