L,W,J2,hilbert_dim,window_size,diag_mode,arpack_tol,arpack_maxiter,arpack_converged_all,mean_nconv,emin_mean,emax_mean,avg_spacing_mean,r_mean,r_sem,ipr_mean,ipr_sem,n_realizations
16,0.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.04009413145427946,0.04004144534036958,0.0004042324682332693,0.5269059965527584,0.007387979381873837,0.0002629421155267318,6.856988270697398e-07,30
16,1.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.044489687623831625,0.04452637227805588,0.00044605140863681535,0.5377006672799477,0.00637281124162553,0.0003220360016595209,8.633203267577658e-06,30
16,1.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.0507628302128453,0.05075036161636833,0.0005062535758866591,0.5493821613448069,0.004934060557851697,0.0006528691365975078,6.120910350512865e-05,30
16,2.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.059178017186593206,0.059030102298222094,0.0005973190690500182,0.5281874096798135,0.006783146712638086,0.0026656283463005674,0.0003910889803324268,30
16,2.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.06745962424060352,0.06754432995276508,0.0006684874347616894,0.5112580295759832,0.009169752989534416,0.00975507663620396,0.0017039913057503026,30
16,3.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.07752953307114384,0.07757659420185328,0.0007878758970481632,0.4677612840961996,0.01142210379942793,0.02567875390716025,0.0036506535220212828,30
16,3.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.0874046583458155,0.08726557722243043,0.0008751445671566323,0.43508518081016156,0.010235373995336586,0.04724990658596042,0.006057541389045953,30
16,4.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.09760221320281634,0.09760822632468959,0.0010054413448083717,0.42703919625047415,0.008432868576843229,0.07433338317611647,0.008671275401667202,30
16,4.5,0.5,12870,80,sparse,1e-10,5000,Truea,200.0,-0.10856929322545045,0.10896799942566794,0.0010821586048479388,0.406186167943719,0.00615027934258615,0.09864111303582876,0.009499182867307087,30
16,5.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.1192177343345633,0.11927275050291895,0.001214883010369854,0.4029840601212918,0.00655705859894057,0.12705378861205874,0.011657963447770156,30
16,5.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.1299695823482858,0.13053469619127747,0.0013125901605288402,0.39968165510137194,0.007337107370928532,0.1570689248121643,0.013425134228056258,30
16,6.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.141852128267629,0.14163919754041085,0.0014366052758386738,0.39595382008743935,0.006001304654478169,0.1802057198311956,0.014657834902759272,30
16,6.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.15255672786540198,0.15255053689669712,0.0015645597292266182,0.3927266456675833,0.006505244232702117,0.21057780068373774,0.015209446185834244,30
16,7.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.1631565689756834,0.16333997153605306,0.0016296577922766205,0.3902992453030215,0.007459759659536184,0.23278513598488002,0.014789987638735564,30
16,7.5,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.17226969497866465,0.17213791267831682,0.0017733506181079042,0.38984385257921156,0.0063217352359144,0.25702779393159203,0.0169226715243596,30
16,8.0,0.5,12870,80,sparse,1e-10,5000,True,200.0,-0.18321528842740584,0.18303151579707738,0.0018424740267457306,0.3881644607977804,0.00672384843423861,0.285233314859264,0.018338320028342143,30
