L,W,mean_r,sem_r,n_valid
10,0.1,0.41297021708402004,0.003026478462744005,50
10,0.5214285714285715,0.5070725796207527,0.0033257283113112576,50
10,0.9428571428571428,0.5205706450732513,0.004041745952874077,50
10,1.3642857142857143,0.5174813663843927,0.004119375791677572,50
10,1.7857142857142858,0.49633130930345254,0.004344374222520362,50
10,2.2071428571428573,0.48375401238592425,0.0044990748030533274,50
10,2.6285714285714286,0.47065134544783194,0.005049102317064331,50
10,3.0500000000000003,0.4495200016326338,0.005022657790896897,50
10,3.4714285714285715,0.432112015520554,0.004575334506398429,50
10,3.892857142857143,0.4240699216782105,0.004219735711152313,50
10,4.314285714285714,0.4178368651951642,0.004247723854254984,50
10,4.735714285714286,0.4091881351666292,0.004426439890814467,50
10,5.157142857142857,0.4072031182617593,0.004146916250962445,50
10,5.578571428571428,0.4092365852196462,0.003524975052116804,50
10,6.0,0.4025841026411962,0.004729151992786476,50
