L,W,mean_r,sem_r,mean_ipr,sem_ipr,n_valid
10,0.1,0.4916168825432058,0.004056912042788432,0.01324580524141849,2.8811258427862466e-05,50
10,0.5214285714285715,0.5344894024907808,0.0034179588041495157,0.012767053826911868,4.1487731170612525e-05,50
10,0.9428571428571428,0.5235545765978497,0.004398352390396105,0.013455502272615789,9.742263077893981e-05,50
10,1.3642857142857143,0.5332393119650514,0.003729951178906286,0.015565766134283943,0.0003272820688967288,50
10,1.7857142857142858,0.5243128448451909,0.00351051507054696,0.019138128274164442,0.0006864299533075627,50
10,2.2071428571428573,0.5155111534541027,0.002921570592210888,0.02447029144613189,0.0010658793827347714,50
10,2.6285714285714286,0.5036033688391465,0.0049893462473495085,0.03227000016451464,0.0016402779565467163,50
10,3.0500000000000003,0.49693322659067335,0.00422872038287412,0.04177606877940373,0.002163457148790538,50
10,3.4714285714285715,0.4764988711719645,0.004239166630539402,0.05404097494777045,0.00260542777074651,50
10,3.892857142857143,0.4611045561304072,0.004630539819220791,0.06930496819715472,0.0035986616559399434,50
10,4.314285714285714,0.45662340180140165,0.004193409451207045,0.08484522956494017,0.0043725864522076935,50
10,4.735714285714286,0.44344626530703984,0.004767400871391473,0.10099162353652957,0.004924519085855284,50
10,5.157142857142857,0.43421375852436184,0.005184402702777872,0.11693805967397825,0.0057295374434068866,50
10,5.578571428571428,0.426597654146218,0.004277252232178024,0.13682760652893852,0.006448805742828568,50
10,6.0,0.43343756993828814,0.003718684938401881,0.15394950895557036,0.007238914406938259,50
