L,W,mean_r,sem_r,n_valid
12,0.1,0.5078708010903913,0.002445250643290068,50
12,0.5214285714285715,0.5315257677313543,0.002139278742421498,50
12,0.9428571428571428,0.5332671631125743,0.0023889906329516448,50
12,1.3642857142857143,0.5291881318946231,0.0020714031454954402,50
12,1.7857142857142858,0.5305090422081624,0.001752939393672143,50
12,2.2071428571428573,0.5265765081300446,0.0022755253531415607,50
12,2.6285714285714286,0.5213329237415527,0.0024995186126823984,50
12,3.0500000000000003,0.5031344500289532,0.002739883046042496,50
12,3.4714285714285715,0.48676514036203455,0.003209302218705047,50
12,3.892857142857143,0.47275688637464003,0.003541756015426635,50
12,4.314285714285714,0.45617878971668646,0.003962213719072221,50
12,4.735714285714286,0.4440827930626438,0.0036265763250821715,50
12,5.157142857142857,0.43283621050181437,0.0033776312411979387,50
12,5.578571428571428,0.42522083020030804,0.00281452600139246,50
12,6.0,0.4204040235520956,0.0030849523953557795,50
