L,W,J2,hilbert_dim,window_size,diag_mode,arpack_tol,arpack_maxiter,arpack_converged_all,mean_nconv,emin_mean,emax_mean,avg_spacing_mean,r_mean,r_sem,ipr_mean,ipr_sem,n_realizations
12,3.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.1891134854040062,1.1868884558787727,0.009343663880272739,0.40560607086590605,0.0038892919431521853,0.18685736357335297,0.009033752629343927,100
12,3.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.353361902293352,1.3502209111741736,0.010679887220843091,0.40436951821154016,0.003843930180389807,0.2406394505926125,0.010387820069972345,100
12,4.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.518683781877779,1.5179830570794963,0.012031403750570142,0.39552598257824206,0.003611976812971326,0.2908364285805333,0.011740869933645651,100
12,4.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.6897862333253608,1.6870446585416425,0.013302033197467247,0.39519262208353034,0.003982987294446234,0.3378780529210698,0.012900414835880041,100
12,5.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.8614250465151085,1.860187543075825,0.014645616801907424,0.3955108034335841,0.004014772159736927,0.3785489310437164,0.01333449859258184,100
12,5.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.031444105510777,2.0301235979609062,0.01600720868130419,0.3890693556694724,0.003525611239333623,0.4146710341338323,0.013550475492357762,100
12,6.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.200636728465868,2.2015345701556406,0.017450471421842206,0.3923030224675497,0.0036503486085632092,0.4483248739536354,0.01394752050445144,100
12,6.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.368455301939843,2.3706920969132073,0.018807940975054897,0.39028123503316087,0.0033202439882123167,0.47548225067340455,0.014113536621253678,100
12,7.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.5478547381499355,2.5400329247303275,0.020202882001466315,0.3877433631306762,0.004350847886530412,0.4993753182520955,0.014215347011911553,100
12,7.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.7236182532978517,2.7158550571812254,0.02163000314987426,0.3899512751133345,0.003738387060849834,0.5207756331501456,0.014089324982662873,100
12,8.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.899017597885591,2.891946595713169,0.0230634551969402,0.3874172920435802,0.003549573072503028,0.5446753495142249,0.014419907551976202,100
14,0.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.19320865421018127,0.19326677584095792,0.0012897482498626764,0.5251831517484989,0.004445578522089278,0.0010860707007738532,6.105348745011806e-06,60
14,1.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.2182313390760423,0.21850474630055833,0.001456128084806175,0.5327738181601338,0.004441495518300859,0.0023777132225913655,0.0001606222260250156,60
14,1.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.25665691938569385,0.25646299685069884,0.0017247479872686748,0.49434408485484477,0.005967178251347304,0.01361233473571634,0.0015959961483593002,60
14,2.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.30389869507571365,0.30378781667565813,0.0020218390743418154,0.45536473733125055,0.006229921318071114,0.04383353402988525,0.004678473271299202,60
14,2.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.35617938663625687,0.3559192991617402,0.0023726262383083133,0.4179133338539956,0.0056023411649881606,0.0905192790153336,0.00816346428062381,60
14,3.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.4094234732851538,0.4097387211797775,0.0027362632485407605,0.40064370980302194,0.005583438025215795,0.14016092452529955,0.0107895362152159,60
14,3.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.4678462708332272,0.46779212614551124,0.003063368960471995,0.3968719324072814,0.0045014213944995635,0.1870569102484458,0.0126139339188071,60
14,4.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.5233517699091178,0.5236715688118909,0.003504864322892611,0.3941866906005576,0.0047073703264793425,0.23171573348501268,0.013790420918784125,60
14,4.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.5823003882772294,0.5836730890710632,0.0038991458115457305,0.38701350567336196,0.004972130308392363,0.27181873444784627,0.014521067708179194,60
14,5.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.6443468318176376,0.6437202275315185,0.004329015846142685,0.3913733150053158,0.00448719942410575,0.3109853432127094,0.016000265339181443,60
14,5.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.7040062301818579,0.7036494157723273,0.004758928313085394,0.38271858111632345,0.0041275697238089114,0.3510617216422819,0.01692350759522139,60
14,6.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.7649167519008927,0.7663629545637707,0.005083679062395346,0.37910118060864956,0.004719478769191256,0.3849572295207338,0.01784383190147222,60
14,6.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.8282257406524483,0.8267584884339828,0.005406056239433104,0.3858682027216924,0.005281467443594351,0.41334303517679144,0.017992613413790933,60
14,7.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.8890167204442843,0.8888258146264294,0.005816074691902751,0.3827589532018597,0.004614878386717995,0.44016317894486817,0.018217868829446607,60
14,7.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.9502320962693187,0.9500242693667234,0.006254620504395877,0.3878838488222798,0.005205955960108425,0.4620457451599456,0.018251038954021595,60
14,8.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-1.0079809871815553,1.0075317272543114,0.006643365053956922,0.3855231261406532,0.004542157133081273,0.48568463393320194,0.0189506994531817,60
