L,W,J2,hilbert_dim,window_size,diag_mode,arpack_tol,arpack_maxiter,arpack_converged_all,mean_nconv,emin_mean,emax_mean,avg_spacing_mean,r_mean,r_sem,ipr_mean,ipr_sem,n_realizations
16,0.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.036071757625053436,0.03610244160315963,0.0003648581597038498,0.5284019040135856,0.0069346085586211885,0.00027382867195466264,1.3055895061699496e-06,30
16,1.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.04103797363307622,0.04096251065664592,0.000414835802942427,0.5335457248948848,0.006512094761105636,0.0004862111085028324,4.14876215453411e-05,30
16,1.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.04757673931603292,0.04742109028236293,0.00047215482277643804,0.5252625562832065,0.005706685457335034,0.004281454285889929,0.0009285586106683939,30
16,2.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.05652046862048193,0.056518831583930326,0.0005601475217005213,0.4712274489809527,0.008689591411215948,0.022922942164262296,0.004430310124522154,30
16,2.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.06601516454118361,0.06587090405189319,0.000666803574004248,0.42634439845131794,0.011087088270194669,0.05841959228114127,0.00837916721462913,30
16,3.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.07524767351054634,0.07520894866554406,0.0007454388571402021,0.4098798976853188,0.007383799068075425,0.10084163791683023,0.01235005023226133,30
16,3.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.08465110719450328,0.08488760091103847,0.0008549748786719646,0.39057021829661936,0.0078085054694129324,0.14065370186044807,0.015259365801805399,30
16,4.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.09492123710877134,0.09441347991339014,0.000943122019042741,0.40064261353778147,0.0072198150876947795,0.1804271673269739,0.015749376135586378,30
16,4.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.10822797663687295,0.10862358226088008,0.0011063073217610813,0.3979078215620112,0.0069405742544113,0.2229835205003629,0.01674482308213563,30
16,5.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.1173810959733715,0.11776797343367608,0.0012262175907380545,0.38907727415580884,0.006152172272714232,0.2603611465291296,0.016525641587349628,30
16,5.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.12918805893452492,0.1293920248506663,0.0013211269644299195,0.3894431357913929,0.00720841212726913,0.29691418819390497,0.018789354788484706,30
16,6.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.14147222438830478,0.14173195167941552,0.0014258876196610074,0.38539153373304386,0.006894263760726401,0.3296683585512853,0.019746695091884457,30
16,6.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.1519488311521569,0.15211975707380934,0.0015682163541587523,0.39543064090458974,0.005685968664902682,0.36120866093393567,0.01991510420452843,30
16,7.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.16347295746170656,0.16384271721037444,0.001666924693730825,0.3898058821842012,0.005159667010880326,0.38496639477825595,0.01945321794110457,30
16,7.5,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.17399403059098095,0.17426309270159565,0.0018045838162884802,0.38855997588618685,0.007385745468817445,0.4094144120603198,0.019955408331378342,30
16,8.0,0.0,12870,80,sparse,1e-10,5000,True,200.0,-0.18639069380895965,0.18624441316801402,0.001876385674000651,0.3863278823610102,0.00722723594471645,0.4359866650392312,0.02127184821716682,30
