L,W,mean_r,sem_r,n_valid
12,0.1,0.4558068630973339,0.002615472243108476,50
12,0.5214285714285715,0.5273049483734487,0.0017882494100224158,50
12,0.9428571428571428,0.5290341868217913,0.002082221702630337,50
12,1.3642857142857143,0.5285208777361321,0.0024073273285666083,50
12,1.7857142857142858,0.5145225825520913,0.002483871007590948,50
12,2.2071428571428573,0.4981961780038687,0.0034767254717614346,50
12,2.6285714285714286,0.4747666768125892,0.0044493656587381225,50
12,3.0500000000000003,0.4515535142840422,0.0038554382744357164,50
12,3.4714285714285715,0.43177838710261573,0.004024137836342131,50
12,3.892857142857143,0.4228610777591928,0.0036332852692630194,50
12,4.314285714285714,0.4133118969613418,0.0034558863736486025,50
12,4.735714285714286,0.4058227801279102,0.002918972318692577,50
12,5.157142857142857,0.406224010754145,0.0025498219740559334,50
12,5.578571428571428,0.3991442384470685,0.0027182152883308244,50
12,6.0,0.39621883578736283,0.002966572631658158,50
