L,W,mean_r,sem_r,mean_ipr,sem_ipr,n_valid
10,0.1,0.4129702170840175,0.0030264784627441173,0.013783810440773401,4.362778570572573e-05,50
10,0.5214285714285715,0.5070725796207503,0.0033257283113115195,0.01291709516388289,5.991098154260589e-05,50
10,0.9428571428571428,0.520570645073251,0.004041745952873763,0.014036344504178639,0.00014207425870325235,50
10,1.3642857142857143,0.5174813663843928,0.004119375791677453,0.017423116941926484,0.0004760504823962453,50
10,1.7857142857142858,0.4963313093034536,0.004344374222520544,0.024041321005472314,0.00127754895290742,50
10,2.2071428571428573,0.48375401238592325,0.0044990748030537256,0.03565266648898247,0.002207583668493277,50
10,2.6285714285714286,0.4706513454478361,0.005049102317064626,0.05164705731547525,0.0036330890197783365,50
10,3.0500000000000003,0.44952000163263583,0.005022657790896834,0.07225429381967066,0.005088900059695871,50
10,3.4714285714285715,0.4321120155205477,0.004575334506398605,0.09367915844339711,0.006263767716736772,50
10,3.892857142857143,0.4240699216782107,0.0042197357111521325,0.11788500471336588,0.007866357957529739,50
10,4.314285714285714,0.41783686519516366,0.00424772385425545,0.14404589591759542,0.009357579497698639,50
10,4.735714285714286,0.4091881351666281,0.004426439890814512,0.16805833525027933,0.010501813451562815,50
10,5.157142857142857,0.4072031182617517,0.004146916250964391,0.19218932836976005,0.011609673942870774,50
10,5.578571428571428,0.4092365852196439,0.0035249750521163265,0.2155238526029399,0.01256892533884896,50
10,6.0,0.40258410264119826,0.004729151992784886,0.24200930161552475,0.013807662597990924,50
