L,W,mean_r,sem_r,mean_ipr,sem_ipr,n_valid
12,0.1,0.5078708010903938,0.0024452506432910614,0.003642223195472845,5.835160811267319e-06,50
12,0.5214285714285715,0.5315257677313487,0.0021392787424215683,0.0035063556919921485,3.032602568069598e-06,50
12,0.9428571428571428,0.5332671631125736,0.0023889906329518785,0.0036596515730169367,1.340676093954629e-05,50
12,1.3642857142857143,0.5291881318946211,0.002071403145494904,0.004102316982970994,4.5134532576636694e-05,50
12,1.7857142857142858,0.530509042208165,0.001752939393672176,0.005012860112656579,0.00012601079602083046,50
12,2.2071428571428573,0.5265765081300404,0.0022755253531419363,0.006928498572361176,0.0003023267069649939,50
12,2.6285714285714286,0.5213329237415569,0.002499518612682749,0.010224852763473345,0.0005749922323425154,50
12,3.0500000000000003,0.5031344500289537,0.002739883046042749,0.015605725409794309,0.0009945044635555841,50
12,3.4714285714285715,0.48676514036204127,0.0032093022187051293,0.023298799942276835,0.0015733378272078245,50
12,3.892857142857143,0.47275688637464064,0.003541756015426237,0.03247616489780589,0.002158479084301871,50
12,4.314285714285714,0.4561787897166919,0.003962213719071749,0.04392796109908915,0.0029092396753774524,50
12,4.735714285714286,0.4440827930626458,0.0036265763250831274,0.056229738669605164,0.0037065534114723918,50
12,5.157142857142857,0.4328362105018149,0.0033776312411986126,0.06940497012464884,0.004428273233763075,50
12,5.578571428571428,0.42522083020030477,0.0028145260013934118,0.08400884986577123,0.0051609517582260275,50
12,6.0,0.4204040235520942,0.0030849523953565697,0.09922790183942007,0.006066718093514764,50
