L,W,mean_r,sem_r,n_valid
8,0.1,0.4145214000643536,0.0050058979536049,50
8,0.5214285714285715,0.4937426702338928,0.0075016094671928,50
8,0.9428571428571428,0.5109023393727511,0.0075280306356912,50
8,1.3642857142857143,0.5080770877671895,0.0067126922738768,50
8,1.7857142857142858,0.4983611275873517,0.0079630277916759,50
8,2.2071428571428573,0.4801217390667761,0.0082993508495101,50
8,2.628571428571429,0.4603167887620822,0.0062118755650613,50
8,3.0500000000000003,0.4384232117547827,0.0072783331745523,50
8,3.4714285714285715,0.4425713085443228,0.0068842618688549,50
8,3.892857142857143,0.4381306703932604,0.0074041462033479,50
8,4.314285714285714,0.423525597819361,0.0078608422532234,50
8,4.735714285714286,0.4080550867142588,0.0082921136899707,50
8,5.157142857142857,0.4213898841203202,0.0075491095434424,50
8,5.578571428571428,0.4213815716882061,0.0079784932726224,50
8,6.0,0.4147733793702794,0.0096108532081977,50
10,0.1,0.41297021708402,0.003026478462744,50
10,0.5214285714285715,0.5070725796207527,0.0033257283113112,50
10,0.9428571428571428,0.5205706450732513,0.004041745952874,50
10,1.3642857142857143,0.5174813663843927,0.0041193757916775,50
10,1.7857142857142858,0.4963313093034525,0.0043443742225203,50
10,2.2071428571428573,0.4837540123859242,0.0044990748030533,50
10,2.628571428571429,0.4706513454478319,0.0050491023170643,50
10,3.0500000000000003,0.4495200016326338,0.0050226577908968,50
10,3.4714285714285715,0.432112015520554,0.0045753345063984,50
10,3.892857142857143,0.4240699216782105,0.0042197357111523,50
10,4.314285714285714,0.4178368651951642,0.0042477238542549,50
10,4.735714285714286,0.4091881351666292,0.0044264398908144,50
10,5.157142857142857,0.4072031182617593,0.0041469162509624,50
10,5.578571428571428,0.4092365852196462,0.0035249750521168,50
10,6.0,0.4025841026411962,0.0047291519927864,50
12,0.1,0.4558068630973339,0.0026154722431084,50
12,0.5214285714285715,0.5273049483734487,0.0017882494100224,50
12,0.9428571428571428,0.5290341868217913,0.0020822217026303,50
12,1.3642857142857143,0.5285208777361321,0.0024073273285666,50
12,1.7857142857142858,0.5145225825520913,0.0024838710075909,50
12,2.2071428571428573,0.4981961780038687,0.0034767254717614,50
12,2.628571428571429,0.4747666768125892,0.0044493656587381,50
12,3.0500000000000003,0.4515535142840422,0.0038554382744357,50
12,3.4714285714285715,0.4317783871026157,0.0040241378363421,50
12,3.892857142857143,0.4228610777591928,0.003633285269263,50
12,4.314285714285714,0.4133118969613418,0.0034558863736486,50
12,4.735714285714286,0.4058227801279102,0.0029189723186925,50
12,5.157142857142857,0.406224010754145,0.0025498219740559,50
12,5.578571428571428,0.3991442384470685,0.0027182152883308,50
12,6.0,0.3962188357873628,0.0029665726316581,50
