L,W,mean_r,sem_r,mean_ipr,sem_ipr,n_valid
12,0.1,0.45580686309732615,0.0026154722431080656,0.00435030492524458,1.464524204673889e-05,50
12,0.5214285714285715,0.5273049483734477,0.0017882494100224236,0.0036087713666021685,1.2428243220058712e-05,50
12,0.9428571428571428,0.5290341868217927,0.002082221702630432,0.003812756291709187,2.239768875218581e-05,50
12,1.3642857142857143,0.5285208777361309,0.002407327328566752,0.0047185310387921515,0.00010482615964678198,50
12,1.7857142857142858,0.5145225825520989,0.0024838710075911563,0.0073254729332860105,0.0003952751322291619,50
12,2.2071428571428573,0.49819617800386956,0.003476725471761255,0.012915203056145378,0.0009415235020862803,50
12,2.6285714285714286,0.47476667681259277,0.004449365658737728,0.023399469515497828,0.0019366739030885584,50
12,3.0500000000000003,0.4515535142840473,0.003855438274435131,0.037410136589583004,0.0030900752105540077,50
12,3.4714285714285715,0.4317783871026194,0.004024137836341634,0.05455058510907736,0.004411281080077016,50
12,3.892857142857143,0.4228610777591875,0.0036332852692633017,0.07442878090608662,0.0058862799384245285,50
12,4.314285714285714,0.4133118969613326,0.0034558863736493797,0.095225699447805,0.007269735973016264,50
12,4.735714285714286,0.4058227801279121,0.0029189723186922104,0.11708928340900934,0.008745808201738547,50
12,5.157142857142857,0.40622401075413245,0.002549821974054475,0.1387650555159828,0.009927567701919942,50
12,5.578571428571428,0.39914423844709845,0.0027182152883295035,0.1605245443989769,0.01087471360780895,50
12,6.0,0.39621883578735156,0.0029665726316575203,0.18120174768145014,0.011644436401196178,50
