L,W,mean_r,sem_r,n_valid
8,0.1,0.4498238868750933,0.0031486082790323,50
8,0.5214285714285715,0.5185118427893365,0.0080463400035807,50
8,0.9428571428571428,0.5302699404359992,0.007824698355148,50
8,1.3642857142857143,0.521095852659663,0.0080471719595092,50
8,1.7857142857142858,0.5227660944621271,0.0070865218620289,50
8,2.2071428571428573,0.5135188937528351,0.008458421314835,50
8,2.628571428571429,0.4903386644574387,0.0080704413913073,50
8,3.0500000000000003,0.4834364083062245,0.0075872699604679,50
8,3.4714285714285715,0.4646176831481289,0.0073561709422157,50
8,3.892857142857143,0.4747964771330183,0.0083354263944434,50
8,4.314285714285714,0.4556621755230174,0.0082819906428438,50
8,4.735714285714286,0.4590831041990607,0.0086790303283911,50
8,5.157142857142857,0.4464792177418026,0.0079432631557965,50
8,5.578571428571428,0.4313096017246686,0.0079979976669981,50
8,6.0,0.4244816218346292,0.0077169258479278,50
10,0.1,0.4916168825432057,0.0040569120427889,50
10,0.5214285714285715,0.53448940249078,0.0034179588041495,50
10,0.9428571428571428,0.5235545765978502,0.0043983523903958,50
10,1.3642857142857143,0.5332393119650554,0.0037299511789061,50
10,1.7857142857142858,0.5243128448451907,0.0035105150705471,50
10,2.2071428571428573,0.5155111534541015,0.0029215705922103,50
10,2.628571428571429,0.5036033688391478,0.0049893462473501,50
10,3.0500000000000003,0.4969332265906769,0.0042287203828741,50
10,3.4714285714285715,0.4764988711719644,0.0042391666305389,50
10,3.892857142857143,0.4611045561304048,0.0046305398192209,50
10,4.314285714285714,0.4566234018014045,0.0041934094512068,50
10,4.735714285714286,0.44344626530704,0.0047674008713915,50
10,5.157142857142857,0.4342137585243582,0.0051844027027775,50
10,5.578571428571428,0.4265976541462187,0.0042772522321785,50
10,6.0,0.4334375699382835,0.0037186849384011,50
12,0.1,0.5078708010903913,0.00244525064329,50
12,0.5214285714285715,0.5315257677313543,0.0021392787424214,50
12,0.9428571428571428,0.5332671631125743,0.0023889906329516,50
12,1.3642857142857143,0.5291881318946231,0.0020714031454954,50
12,1.7857142857142858,0.5305090422081624,0.0017529393936721,50
12,2.2071428571428573,0.5265765081300446,0.0022755253531415,50
12,2.628571428571429,0.5213329237415527,0.0024995186126823,50
12,3.0500000000000003,0.5031344500289532,0.0027398830460424,50
12,3.4714285714285715,0.4867651403620345,0.003209302218705,50
12,3.892857142857143,0.47275688637464,0.0035417560154266,50
12,4.314285714285714,0.4561787897166864,0.0039622137190722,50
12,4.735714285714286,0.4440827930626438,0.0036265763250821,50
12,5.157142857142857,0.4328362105018143,0.0033776312411979,50
12,5.578571428571428,0.425220830200308,0.0028145260013924,50
12,6.0,0.4204040235520956,0.0030849523953557,50
14,0.1,0.5297538916270955,0.0009917065261898,50
14,0.5214285714285715,0.5309678683601833,0.0010887270911166,50
14,0.9428571428571428,0.5310326567092463,0.0009624152491697,50
14,1.3642857142857143,0.5316209691320659,0.0009755185811774,50
14,1.7857142857142858,0.530768987448812,0.001214696867166,50
14,2.2071428571428573,0.5293602437273482,0.0010053458815395,50
14,2.628571428571429,0.5271467458152121,0.0010445006841472,50
14,3.0500000000000003,0.5205430793028896,0.00170601416791,50
14,3.4714285714285715,0.5062896469533955,0.0028090865391116,50
14,3.892857142857143,0.4909921042713002,0.0034492733192046,50
14,4.314285714285714,0.4730020959056288,0.0042492077660425,50
14,4.735714285714286,0.4576714076712292,0.0042296683332947,50
14,5.157142857142857,0.4443002661117022,0.0040523998239987,50
14,5.578571428571428,0.4334622435586533,0.003876602060451,50
14,6.0,0.4252981027973279,0.0031394148821674,50
